0,1
left ringEF_L_Z,left pinkyMedial_L_Z
left ringEF_L_Z,left pinkyDistal_L_Z
left ringEF_L_Z,left pinkyEF_L_Z
left ringEF_L_Z,left palm_L_Z
left ringEF_L_Z,left wrist_L_Z
left ringEF_L_Z,left handBaseRadius_L_Z
left ringEF_L_Z,left armFrontUlna_L_Z
left pinkyProximal_L_X,left pinkyMedial_L_X
left pinkyProximal_L_X,left pinkyDistal_L_X
left pinkyProximal_L_X,left pinkyEF_L_X
left pinkyProximal_L_X,left palm_L_X
left pinkyProximal_L_X,left wrist_L_X
left pinkyProximal_L_X,left handBaseRadius_L_X
left pinkyProximal_L_X,left armFrontRadius_L_X
left pinkyProximal_L_X,left armFrontUlna_L_X
left pinkyProximal_L_Y,left pinkyMedial_L_Y
left pinkyProximal_L_Y,left pinkyDistal_L_Y
left pinkyProximal_L_Y,left pinkyEF_L_Y
left pinkyProximal_L_Y,left wrist_L_Y
left pinkyProximal_L_Y,left armFrontUlna_L_Y
left pinkyProximal_L_Z,left pinkyMedial_L_Z
left pinkyProximal_L_Z,left pinkyDistal_L_Z
left pinkyProximal_L_Z,left pinkyEF_L_Z
left pinkyProximal_L_Z,left palm_L_Z
left pinkyProximal_L_Z,left wrist_L_Z
left pinkyProximal_L_Z,left handBaseRadius_L_Z
left pinkyProximal_L_Z,left armFrontUlna_L_Z
left pinkyMedial_L_X,left pinkyDistal_L_X
left pinkyMedial_L_X,left pinkyEF_L_X
left pinkyMedial_L_X,left palm_L_X
left pinkyMedial_L_X,left wrist_L_X
left pinkyMedial_L_X,left handBaseRadius_L_X
left pinkyMedial_L_X,left armFrontRadius_L_X
left pinkyMedial_L_X,left armFrontUlna_L_X
left pinkyMedial_L_Y,left pinkyDistal_L_Y
left pinkyMedial_L_Y,left pinkyEF_L_Y
left pinkyMedial_L_Y,left palm_L_Y
left pinkyMedial_L_Z,left pinkyDistal_L_Z
left pinkyMedial_L_Z,left pinkyEF_L_Z
left pinkyMedial_L_Z,left palm_L_Z
left pinkyMedial_L_Z,left wrist_L_Z
left pinkyMedial_L_Z,left handBaseRadius_L_Z
left pinkyMedial_L_Z,left armFrontUlna_L_Z
left pinkyDistal_L_X,left pinkyEF_L_X
left pinkyDistal_L_X,left palm_L_X
